title,company,location,education,experience,skills,description
Architect,Ethio Telecom,Debre Zeit,Bachelor's,3,"Teamwork, Amharic, NumPy","We are looking for a Architect at Ethio Telecom in Debre Zeit. Requirements: Bachelor's degree, 3 years experience, skills: Teamwork, Amharic, NumPy."
Chef,PSI Ethiopia,Gondar,Bachelor's,1,"Cybersecurity, CCNA, Docker, Communication","We are looking for a Chef at PSI Ethiopia in Gondar. Requirements: Bachelor's degree, 1 years experience, skills: Cybersecurity, CCNA, Docker, Communication."
Accountant,Population Services International,Adama,Master's,0,"Linux, QuickBooks, Django, Cybersecurity, Research, Project Management","We are looking for a Accountant at Population Services International in Adama. Requirements: Master's degree, 0 years experience, skills: Linux, QuickBooks, Django, Cybersecurity, Research, Project Management."
Mechanic,UNICEF Ethiopia,Hawassa,Bachelor's,10,"Cybersecurity, Data Analysis, AWS, Writing","We are looking for a Mechanic at UNICEF Ethiopia in Hawassa. Requirements: Bachelor's degree, 10 years experience, skills: Cybersecurity, Data Analysis, AWS, Writing."
Sales Representative,Ethio Telecom,Dire Dawa,Diploma,8,"Microsoft Office, Java, Linux","We are looking for a Sales Representative at Ethio Telecom in Dire Dawa. Requirements: Diploma degree, 8 years experience, skills: Microsoft Office, Java, Linux."
Project Manager,Oxfam GB,Hawassa,Master's,9,"English, AWS, Microsoft Office, Marketing, Data Analysis, Teamwork, Excel","We are looking for a Project Manager at Oxfam GB in Hawassa. Requirements: Master's degree, 9 years experience, skills: English, AWS, Microsoft Office, Marketing, Data Analysis, Teamwork, Excel."
Teacher,Ethiopian Airlines,Debre Zeit,Master's,0,"Scikit-learn, Marketing, Git, QuickBooks, Writing","We are looking for a Teacher at Ethiopian Airlines in Debre Zeit. Requirements: Master's degree, 0 years experience, skills: Scikit-learn, Marketing, Git, QuickBooks, Writing."
Financial Analyst,UNICEF Ethiopia,Mekelle,Bachelor's,4,"TensorFlow, SQL, Oracle, Cybersecurity, Scikit-learn, Customer Service, Flask, Microsoft Office","We are looking for a Financial Analyst at UNICEF Ethiopia in Mekelle. Requirements: Bachelor's degree, 4 years experience, skills: TensorFlow, SQL, Oracle, Cybersecurity, Scikit-learn, Customer Service, Flask, Microsoft Office."
Marketing Officer,Awash Bank,Jimma,Bachelor's,3,"CSS, Git, Flask, Sales, English, TensorFlow","We are looking for a Marketing Officer at Awash Bank in Jimma. Requirements: Bachelor's degree, 3 years experience, skills: CSS, Git, Flask, Sales, English, TensorFlow."
Procurement Officer,Homegrown Ethiopia,Adama,Diploma,0,"Customer Service, Cisco, Networking","We are looking for a Procurement Officer at Homegrown Ethiopia in Adama. Requirements: Diploma degree, 0 years experience, skills: Customer Service, Cisco, Networking."
Marketing Officer,Awash Bank,Hawassa,Diploma,6,"Python, CCNA, CSS, Cisco, SQL, Java","We are looking for a Marketing Officer at Awash Bank in Hawassa. Requirements: Diploma degree, 6 years experience, skills: Python, CCNA, CSS, Cisco, SQL, Java."
Teacher,Population Services International,Bahir Dar,High School,3,"Pandas, Data Analysis, Flask, Django","We are looking for a Teacher at Population Services International in Bahir Dar. Requirements: High School degree, 3 years experience, skills: Pandas, Data Analysis, Flask, Django."
Mechanic,Ethiopian Airlines,Addis Ababa,Diploma,2,"Data Analysis, Oracle, QuickBooks, Excel, AWS, Docker","We are looking for a Mechanic at Ethiopian Airlines in Addis Ababa. Requirements: Diploma degree, 2 years experience, skills: Data Analysis, Oracle, QuickBooks, Excel, AWS, Docker."
Tour Guide,SOS Children's Villages,Addis Ababa,High School,7,"SQL, Cybersecurity, Sales, TensorFlow, Machine Learning, JavaScript, English, Research","We are looking for a Tour Guide at SOS Children's Villages in Addis Ababa. Requirements: High School degree, 7 years experience, skills: SQL, Cybersecurity, Sales, TensorFlow, Machine Learning, JavaScript, English, Research."
Network Administrator,Population Services International,Addis Ababa,High School,3,"Scikit-learn, Linux, Networking, HTML","We are looking for a Network Administrator at Population Services International in Addis Ababa. Requirements: High School degree, 3 years experience, skills: Scikit-learn, Linux, Networking, HTML."
Financial Analyst,Ministry of Education,Hawassa,Diploma,7,"English, HTML, Cybersecurity, Communication, Data Analysis, NumPy","We are looking for a Financial Analyst at Ministry of Education in Hawassa. Requirements: Diploma degree, 7 years experience, skills: English, HTML, Cybersecurity, Communication, Data Analysis, NumPy."
Procurement Officer,Ethio Telecom,Adama,High School,0,"CCNA, Marketing, HTML, Leadership, Accounting, Cisco, Django","We are looking for a Procurement Officer at Ethio Telecom in Adama. Requirements: High School degree, 0 years experience, skills: CCNA, Marketing, HTML, Leadership, Accounting, Cisco, Django."
Teacher,UNICEF Ethiopia,Hawassa,Diploma,9,"Microsoft Office, Amharic, TensorFlow, Java, Cisco, Git","We are looking for a Teacher at UNICEF Ethiopia in Hawassa. Requirements: Diploma degree, 9 years experience, skills: Microsoft Office, Amharic, TensorFlow, Java, Cisco, Git."
Sales Representative,Commercial Bank of Ethiopia,Dire Dawa,High School,10,"CSS, English, Research, Marketing, TensorFlow, Customer Service, Excel","We are looking for a Sales Representative at Commercial Bank of Ethiopia in Dire Dawa. Requirements: High School degree, 10 years experience, skills: CSS, English, Research, Marketing, TensorFlow, Customer Service, Excel."
Sales Representative,Awash Bank,Gondar,Master's,9,"Teamwork, JavaScript, Sales, Java","We are looking for a Sales Representative at Awash Bank in Gondar. Requirements: Master's degree, 9 years experience, skills: Teamwork, JavaScript, Sales, Java."
Nurse,Pathfinder International,Hawassa,Bachelor's,0,"TensorFlow, QuickBooks, Leadership, Amharic","We are looking for a Nurse at Pathfinder International in Hawassa. Requirements: Bachelor's degree, 0 years experience, skills: TensorFlow, QuickBooks, Leadership, Amharic."
Project Manager,Dashen Bank,Hawassa,High School,3,"Teamwork, Networking, JavaScript","We are looking for a Project Manager at Dashen Bank in Hawassa. Requirements: High School degree, 3 years experience, skills: Teamwork, Networking, JavaScript."
Financial Analyst,Oxfam GB,Bahir Dar,Diploma,9,"Teamwork, PyTorch, Project Management, HTML, Accounting, AWS, Flask","We are looking for a Financial Analyst at Oxfam GB in Bahir Dar. Requirements: Diploma degree, 9 years experience, skills: Teamwork, PyTorch, Project Management, HTML, Accounting, AWS, Flask."
Graphic Designer,Ethiopian Airlines,Debre Zeit,Master's,8,"Linux, Communication, Git, Cisco, SAP, CSS, AWS","We are looking for a Graphic Designer at Ethiopian Airlines in Debre Zeit. Requirements: Master's degree, 8 years experience, skills: Linux, Communication, Git, Cisco, SAP, CSS, AWS."
Chef,Techno Serve,Gondar,Master's,7,"Networking, Microsoft Office, Leadership, JavaScript, SAP, Oracle","We are looking for a Chef at Techno Serve in Gondar. Requirements: Master's degree, 7 years experience, skills: Networking, Microsoft Office, Leadership, JavaScript, SAP, Oracle."
Nurse,UNICEF Ethiopia,Jimma,Bachelor's,7,"Leadership, Machine Learning, Django, Docker, Teaching","We are looking for a Nurse at UNICEF Ethiopia in Jimma. Requirements: Bachelor's degree, 7 years experience, skills: Leadership, Machine Learning, Django, Docker, Teaching."
Customer Service Officer,Dashen Bank,Debre Zeit,Bachelor's,2,"Microsoft Office, Data Analysis, AWS, TensorFlow, Cybersecurity, English, Git","We are looking for a Customer Service Officer at Dashen Bank in Debre Zeit. Requirements: Bachelor's degree, 2 years experience, skills: Microsoft Office, Data Analysis, AWS, TensorFlow, Cybersecurity, English, Git."
Procurement Officer,Ethiopian Shipping Lines,Hawassa,Master's,7,"English, AWS, Oracle, Amharic, HTML","We are looking for a Procurement Officer at Ethiopian Shipping Lines in Hawassa. Requirements: Master's degree, 7 years experience, skills: English, AWS, Oracle, Amharic, HTML."
Project Manager,Commercial Bank of Ethiopia,Addis Ababa,Bachelor's,3,"Research, JavaScript, Marketing, TensorFlow, Git, HTML, Teamwork","We are looking for a Project Manager at Commercial Bank of Ethiopia in Addis Ababa. Requirements: Bachelor's degree, 3 years experience, skills: Research, JavaScript, Marketing, TensorFlow, Git, HTML, Teamwork."
Customer Service Officer,Addis Ababa University,Debre Zeit,Bachelor's,3,"AWS, PyTorch, Research","We are looking for a Customer Service Officer at Addis Ababa University in Debre Zeit. Requirements: Bachelor's degree, 3 years experience, skills: AWS, PyTorch, Research."
Translator (Amharic/English),Habesha Breweries,Adama,Diploma,5,"Research, Data Analysis, Accounting, Pandas","We are looking for a Translator (Amharic/English) at Habesha Breweries in Adama. Requirements: Diploma degree, 5 years experience, skills: Research, Data Analysis, Accounting, Pandas."
Civil Engineer,Ethio Telecom,Addis Ababa,High School,10,"Project Management, Sales, Leadership, Pandas, Django, SAP, Flask","We are looking for a Civil Engineer at Ethio Telecom in Addis Ababa. Requirements: High School degree, 10 years experience, skills: Project Management, Sales, Leadership, Pandas, Django, SAP, Flask."
Chef,Ethio Telecom,Dire Dawa,High School,8,"Cisco, English, Project Management, SAP, JavaScript, Django","We are looking for a Chef at Ethio Telecom in Dire Dawa. Requirements: High School degree, 8 years experience, skills: Cisco, English, Project Management, SAP, JavaScript, Django."
Tour Guide,SOS Children's Villages,Gondar,Bachelor's,9,"SQL, Networking, JavaScript, Microsoft Office","We are looking for a Tour Guide at SOS Children's Villages in Gondar. Requirements: Bachelor's degree, 9 years experience, skills: SQL, Networking, JavaScript, Microsoft Office."
Financial Analyst,Ethio Telecom,Adama,Master's,7,"CSS, Accounting, Networking, HTML, Pandas, CCNA, Data Analysis","We are looking for a Financial Analyst at Ethio Telecom in Adama. Requirements: Master's degree, 7 years experience, skills: CSS, Accounting, Networking, HTML, Pandas, CCNA, Data Analysis."
Mechanic,PSI Ethiopia,Adama,Diploma,8,"Git, QuickBooks, Oracle, Flask, Scikit-learn, Ethical Hacking, Cybersecurity","We are looking for a Mechanic at PSI Ethiopia in Adama. Requirements: Diploma degree, 8 years experience, skills: Git, QuickBooks, Oracle, Flask, Scikit-learn, Ethical Hacking, Cybersecurity."
Civil Engineer,Pathfinder International,Jimma,High School,5,"SAP, CSS, Cybersecurity, QuickBooks","We are looking for a Civil Engineer at Pathfinder International in Jimma. Requirements: High School degree, 5 years experience, skills: SAP, CSS, Cybersecurity, QuickBooks."
Accountant,Homegrown Ethiopia,Hawassa,Bachelor's,5,"NumPy, English, HTML, Customer Service, AWS, TensorFlow","We are looking for a Accountant at Homegrown Ethiopia in Hawassa. Requirements: Bachelor's degree, 5 years experience, skills: NumPy, English, HTML, Customer Service, AWS, TensorFlow."
Architect,Pathfinder International,Dire Dawa,High School,10,"Marketing, Microsoft Office, Git, CCNA, Docker, Teamwork, Oracle, Teaching","We are looking for a Architect at Pathfinder International in Dire Dawa. Requirements: High School degree, 10 years experience, skills: Marketing, Microsoft Office, Git, CCNA, Docker, Teamwork, Oracle, Teaching."
Civil Engineer,Addis Ababa University,Addis Ababa,Master's,5,"HTML, Teaching, Linux","We are looking for a Civil Engineer at Addis Ababa University in Addis Ababa. Requirements: Master's degree, 5 years experience, skills: HTML, Teaching, Linux."
Nurse,Ethiopian Airlines,Mekelle,Bachelor's,1,"Communication, Docker, Marketing, Teaching, Git, Sales, SQL","We are looking for a Nurse at Ethiopian Airlines in Mekelle. Requirements: Bachelor's degree, 1 years experience, skills: Communication, Docker, Marketing, Teaching, Git, Sales, SQL."
Architect,Ethiopian Airlines,Adama,High School,4,"Data Analysis, Customer Service, Python, NumPy, Docker, TensorFlow","We are looking for a Architect at Ethiopian Airlines in Adama. Requirements: High School degree, 4 years experience, skills: Data Analysis, Customer Service, Python, NumPy, Docker, TensorFlow."
Software Developer,UNICEF Ethiopia,Adama,Bachelor's,10,"Marketing, PyTorch, Teamwork, Research, Oracle","We are looking for a Software Developer at UNICEF Ethiopia in Adama. Requirements: Bachelor's degree, 10 years experience, skills: Marketing, PyTorch, Teamwork, Research, Oracle."
Financial Analyst,Commercial Bank of Ethiopia,Mekelle,Diploma,6,"QuickBooks, Research, Teamwork","We are looking for a Financial Analyst at Commercial Bank of Ethiopia in Mekelle. Requirements: Diploma degree, 6 years experience, skills: QuickBooks, Research, Teamwork."
Civil Engineer,Techno Serve,Addis Ababa,Bachelor's,1,"SAP, Machine Learning, Oracle, Django","We are looking for a Civil Engineer at Techno Serve in Addis Ababa. Requirements: Bachelor's degree, 1 years experience, skills: SAP, Machine Learning, Oracle, Django."
Accountant,Techno Serve,Addis Ababa,Master's,5,"HTML, SQL, Django, Oracle","We are looking for a Accountant at Techno Serve in Addis Ababa. Requirements: Master's degree, 5 years experience, skills: HTML, SQL, Django, Oracle."
Human Resources Assistant,Ethiopian Shipping Lines,Hawassa,Bachelor's,3,"Teaching, SAP, Pandas, HTML","We are looking for a Human Resources Assistant at Ethiopian Shipping Lines in Hawassa. Requirements: Bachelor's degree, 3 years experience, skills: Teaching, SAP, Pandas, HTML."
Project Manager,Homegrown Ethiopia,Bahir Dar,Diploma,4,"Oracle, Microsoft Office, PyTorch, Research, Accounting, Flask","We are looking for a Project Manager at Homegrown Ethiopia in Bahir Dar. Requirements: Diploma degree, 4 years experience, skills: Oracle, Microsoft Office, PyTorch, Research, Accounting, Flask."
Chef,Ethiopian Shipping Lines,Jimma,Bachelor's,5,"Project Management, JavaScript, SQL, Django, Oracle","We are looking for a Chef at Ethiopian Shipping Lines in Jimma. Requirements: Bachelor's degree, 5 years experience, skills: Project Management, JavaScript, SQL, Django, Oracle."
Financial Analyst,Addis Ababa University,Mekelle,High School,6,"Microsoft Office, Python, Docker, Customer Service, Linux","We are looking for a Financial Analyst at Addis Ababa University in Mekelle. Requirements: High School degree, 6 years experience, skills: Microsoft Office, Python, Docker, Customer Service, Linux."
Data Analyst,PSI Ethiopia,Mekelle,Master's,1,"Teaching, CCNA, Python, TensorFlow","We are looking for a Data Analyst at PSI Ethiopia in Mekelle. Requirements: Master's degree, 1 years experience, skills: Teaching, CCNA, Python, TensorFlow."
Hotel Manager,UNICEF Ethiopia,Dire Dawa,Diploma,0,"Ethical Hacking, Sales, Linux, Git, Writing","We are looking for a Hotel Manager at UNICEF Ethiopia in Dire Dawa. Requirements: Diploma degree, 0 years experience, skills: Ethical Hacking, Sales, Linux, Git, Writing."
Network Administrator,Oxfam GB,Addis Ababa,Diploma,6,"NumPy, Flask, Cisco, Microsoft Office, SAP","We are looking for a Network Administrator at Oxfam GB in Addis Ababa. Requirements: Diploma degree, 6 years experience, skills: NumPy, Flask, Cisco, Microsoft Office, SAP."
Teacher,CARE Ethiopia,Mekelle,High School,8,"Django, NumPy, Accounting, Flask, Leadership, Writing, Microsoft Office","We are looking for a Teacher at CARE Ethiopia in Mekelle. Requirements: High School degree, 8 years experience, skills: Django, NumPy, Accounting, Flask, Leadership, Writing, Microsoft Office."
Sales Representative,Ethio Telecom,Gondar,Bachelor's,9,"Leadership, Teaching, TensorFlow, Linux","We are looking for a Sales Representative at Ethio Telecom in Gondar. Requirements: Bachelor's degree, 9 years experience, skills: Leadership, Teaching, TensorFlow, Linux."
Procurement Officer,Awash Bank,Adama,Diploma,4,"Writing, NumPy, Accounting, Marketing, SAP","We are looking for a Procurement Officer at Awash Bank in Adama. Requirements: Diploma degree, 4 years experience, skills: Writing, NumPy, Accounting, Marketing, SAP."
Mechanic,Ethiopian Airlines,Gondar,High School,5,"Pandas, Git, Writing, Java","We are looking for a Mechanic at Ethiopian Airlines in Gondar. Requirements: High School degree, 5 years experience, skills: Pandas, Git, Writing, Java."
Chef,Homegrown Ethiopia,Dire Dawa,High School,9,"SQL, TensorFlow, Git, English","We are looking for a Chef at Homegrown Ethiopia in Dire Dawa. Requirements: High School degree, 9 years experience, skills: SQL, TensorFlow, Git, English."
Marketing Officer,Pathfinder International,Dire Dawa,Diploma,8,"Java, Research, Git, Writing, HTML","We are looking for a Marketing Officer at Pathfinder International in Dire Dawa. Requirements: Diploma degree, 8 years experience, skills: Java, Research, Git, Writing, HTML."
Administrative Assistant,UNICEF Ethiopia,Hawassa,Master's,9,"Java, AWS, Sales, NumPy, Teamwork, Amharic, Ethical Hacking","We are looking for a Administrative Assistant at UNICEF Ethiopia in Hawassa. Requirements: Master's degree, 9 years experience, skills: Java, AWS, Sales, NumPy, Teamwork, Amharic, Ethical Hacking."
Architect,PSI Ethiopia,Adama,Bachelor's,4,"PyTorch, HTML, CSS, AWS, Python, Java, Amharic","We are looking for a Architect at PSI Ethiopia in Adama. Requirements: Bachelor's degree, 4 years experience, skills: PyTorch, HTML, CSS, AWS, Python, Java, Amharic."
Procurement Officer,Ethio Telecom,Gondar,Bachelor's,10,"SAP, Docker, Sales, Customer Service, CCNA, Communication, NumPy","We are looking for a Procurement Officer at Ethio Telecom in Gondar. Requirements: Bachelor's degree, 10 years experience, skills: SAP, Docker, Sales, Customer Service, CCNA, Communication, NumPy."
Tour Guide,Dashen Bank,Gondar,Bachelor's,9,"CCNA, Customer Service, Data Analysis, AWS, SQL","We are looking for a Tour Guide at Dashen Bank in Gondar. Requirements: Bachelor's degree, 9 years experience, skills: CCNA, Customer Service, Data Analysis, AWS, SQL."
Network Administrator,Commercial Bank of Ethiopia,Mekelle,Diploma,7,"Writing, Research, TensorFlow, Excel, Teaching, Teamwork, JavaScript","We are looking for a Network Administrator at Commercial Bank of Ethiopia in Mekelle. Requirements: Diploma degree, 7 years experience, skills: Writing, Research, TensorFlow, Excel, Teaching, Teamwork, JavaScript."
Customer Service Officer,Awash Bank,Gondar,Diploma,10,"QuickBooks, Sales, SQL, Communication, Pandas, AWS, Data Analysis","We are looking for a Customer Service Officer at Awash Bank in Gondar. Requirements: Diploma degree, 10 years experience, skills: QuickBooks, Sales, SQL, Communication, Pandas, AWS, Data Analysis."
Sales Representative,Dashen Bank,Addis Ababa,Diploma,7,"Python, Linux, SAP","We are looking for a Sales Representative at Dashen Bank in Addis Ababa. Requirements: Diploma degree, 7 years experience, skills: Python, Linux, SAP."
Architect,NIB Insurance,Addis Ababa,High School,9,"Writing, Cisco, Teaching","We are looking for a Architect at NIB Insurance in Addis Ababa. Requirements: High School degree, 9 years experience, skills: Writing, Cisco, Teaching."
Data Analyst,UNICEF Ethiopia,Jimma,Master's,1,"Flask, Marketing, Sales, PyTorch, Machine Learning, SQL, Java, Project Management","We are looking for a Data Analyst at UNICEF Ethiopia in Jimma. Requirements: Master's degree, 1 years experience, skills: Flask, Marketing, Sales, PyTorch, Machine Learning, SQL, Java, Project Management."
Network Administrator,Ethiopian Airlines,Addis Ababa,Master's,1,"Machine Learning, SAP, Java, Microsoft Office, Flask, Writing","We are looking for a Network Administrator at Ethiopian Airlines in Addis Ababa. Requirements: Master's degree, 1 years experience, skills: Machine Learning, SAP, Java, Microsoft Office, Flask, Writing."
Financial Analyst,Homegrown Ethiopia,Adama,Master's,9,"Networking, Sales, English, Excel, Cisco, Accounting","We are looking for a Financial Analyst at Homegrown Ethiopia in Adama. Requirements: Master's degree, 9 years experience, skills: Networking, Sales, English, Excel, Cisco, Accounting."
Sales Representative,SOS Children's Villages,Mekelle,Master's,7,"QuickBooks, PyTorch, Amharic, Java","We are looking for a Sales Representative at SOS Children's Villages in Mekelle. Requirements: Master's degree, 7 years experience, skills: QuickBooks, PyTorch, Amharic, Java."
Project Manager,CARE Ethiopia,Gondar,Bachelor's,7,"Amharic, QuickBooks, PyTorch, Communication","We are looking for a Project Manager at CARE Ethiopia in Gondar. Requirements: Bachelor's degree, 7 years experience, skills: Amharic, QuickBooks, PyTorch, Communication."
Marketing Officer,PSI Ethiopia,Hawassa,Bachelor's,4,"Customer Service, Marketing, NumPy, Cisco, Teamwork, Research","We are looking for a Marketing Officer at PSI Ethiopia in Hawassa. Requirements: Bachelor's degree, 4 years experience, skills: Customer Service, Marketing, NumPy, Cisco, Teamwork, Research."
Sales Representative,NIB Insurance,Hawassa,Master's,2,"Java, CSS, PyTorch, Cisco, Git, QuickBooks, Oracle","We are looking for a Sales Representative at NIB Insurance in Hawassa. Requirements: Master's degree, 2 years experience, skills: Java, CSS, PyTorch, Cisco, Git, QuickBooks, Oracle."
Mechanic,Commercial Bank of Ethiopia,Bahir Dar,Bachelor's,8,"Scikit-learn, NumPy, Marketing","We are looking for a Mechanic at Commercial Bank of Ethiopia in Bahir Dar. Requirements: Bachelor's degree, 8 years experience, skills: Scikit-learn, NumPy, Marketing."
Sales Representative,Population Services International,Bahir Dar,High School,5,"QuickBooks, Customer Service, Ethical Hacking, Accounting, Teaching, AWS","We are looking for a Sales Representative at Population Services International in Bahir Dar. Requirements: High School degree, 5 years experience, skills: QuickBooks, Customer Service, Ethical Hacking, Accounting, Teaching, AWS."
Chef,SOS Children's Villages,Hawassa,Master's,8,"PyTorch, QuickBooks, SAP","We are looking for a Chef at SOS Children's Villages in Hawassa. Requirements: Master's degree, 8 years experience, skills: PyTorch, QuickBooks, SAP."
Administrative Assistant,Techno Serve,Debre Zeit,Diploma,9,"Flask, PyTorch, Pandas, Teaching, Accounting, Django, Teamwork","We are looking for a Administrative Assistant at Techno Serve in Debre Zeit. Requirements: Diploma degree, 9 years experience, skills: Flask, PyTorch, Pandas, Teaching, Accounting, Django, Teamwork."
Civil Engineer,Addis Ababa University,Addis Ababa,Bachelor's,10,"Linux, Teaching, CSS, Research, Git, Marketing, Scikit-learn, Cisco","We are looking for a Civil Engineer at Addis Ababa University in Addis Ababa. Requirements: Bachelor's degree, 10 years experience, skills: Linux, Teaching, CSS, Research, Git, Marketing, Scikit-learn, Cisco."
Civil Engineer,Population Services International,Mekelle,Bachelor's,8,"Writing, Customer Service, CSS, Java, Docker, Python","We are looking for a Civil Engineer at Population Services International in Mekelle. Requirements: Bachelor's degree, 8 years experience, skills: Writing, Customer Service, CSS, Java, Docker, Python."
Civil Engineer,SOS Children's Villages,Adama,High School,9,"HTML, Cisco, Flask, SQL","We are looking for a Civil Engineer at SOS Children's Villages in Adama. Requirements: High School degree, 9 years experience, skills: HTML, Cisco, Flask, SQL."
Sales Representative,World Food Programme,Debre Zeit,High School,0,"Excel, SQL, Git, Communication, Project Management, Leadership, Teamwork, Research","We are looking for a Sales Representative at World Food Programme in Debre Zeit. Requirements: High School degree, 0 years experience, skills: Excel, SQL, Git, Communication, Project Management, Leadership, Teamwork, Research."
Financial Analyst,NIB Insurance,Mekelle,Master's,9,"Networking, Amharic, Accounting","We are looking for a Financial Analyst at NIB Insurance in Mekelle. Requirements: Master's degree, 9 years experience, skills: Networking, Amharic, Accounting."
Customer Service Officer,Commercial Bank of Ethiopia,Gondar,Bachelor's,9,"Ethical Hacking, Communication, PyTorch, Pandas, Leadership, TensorFlow, Flask","We are looking for a Customer Service Officer at Commercial Bank of Ethiopia in Gondar. Requirements: Bachelor's degree, 9 years experience, skills: Ethical Hacking, Communication, PyTorch, Pandas, Leadership, TensorFlow, Flask."
Data Analyst,Commercial Bank of Ethiopia,Jimma,Master's,4,"Leadership, CSS, Microsoft Office","We are looking for a Data Analyst at Commercial Bank of Ethiopia in Jimma. Requirements: Master's degree, 4 years experience, skills: Leadership, CSS, Microsoft Office."
Marketing Officer,CARE Ethiopia,Hawassa,Diploma,9,"English, Networking, Oracle, NumPy, Linux","We are looking for a Marketing Officer at CARE Ethiopia in Hawassa. Requirements: Diploma degree, 9 years experience, skills: English, Networking, Oracle, NumPy, Linux."
Project Manager,PSI Ethiopia,Dire Dawa,High School,0,"QuickBooks, Marketing, Networking, Writing, PyTorch","We are looking for a Project Manager at PSI Ethiopia in Dire Dawa. Requirements: High School degree, 0 years experience, skills: QuickBooks, Marketing, Networking, Writing, PyTorch."
Civil Engineer,Ethio Telecom,Gondar,Bachelor's,8,"Customer Service, Sales, Cybersecurity, English, Excel, SQL","We are looking for a Civil Engineer at Ethio Telecom in Gondar. Requirements: Bachelor's degree, 8 years experience, skills: Customer Service, Sales, Cybersecurity, English, Excel, SQL."
Procurement Officer,Population Services International,Jimma,Diploma,7,"PyTorch, Scikit-learn, SQL, Teaching, Linux, Java","We are looking for a Procurement Officer at Population Services International in Jimma. Requirements: Diploma degree, 7 years experience, skills: PyTorch, Scikit-learn, SQL, Teaching, Linux, Java."
Mechanic,Homegrown Ethiopia,Debre Zeit,Diploma,5,"Customer Service, Linux, Cisco, AWS, Ethical Hacking, Accounting","We are looking for a Mechanic at Homegrown Ethiopia in Debre Zeit. Requirements: Diploma degree, 5 years experience, skills: Customer Service, Linux, Cisco, AWS, Ethical Hacking, Accounting."
Content Writer,Ethio Telecom,Jimma,High School,3,"Scikit-learn, Communication, Project Management, Flask, Pandas, Research","We are looking for a Content Writer at Ethio Telecom in Jimma. Requirements: High School degree, 3 years experience, skills: Scikit-learn, Communication, Project Management, Flask, Pandas, Research."
Financial Analyst,Ethiopian Shipping Lines,Hawassa,Master's,10,"Python, Cybersecurity, English, Docker","We are looking for a Financial Analyst at Ethiopian Shipping Lines in Hawassa. Requirements: Master's degree, 10 years experience, skills: Python, Cybersecurity, English, Docker."
Hotel Manager,Commercial Bank of Ethiopia,Debre Zeit,Bachelor's,3,"Teamwork, Customer Service, Excel, SAP, Oracle, Microsoft Office, AWS","We are looking for a Hotel Manager at Commercial Bank of Ethiopia in Debre Zeit. Requirements: Bachelor's degree, 3 years experience, skills: Teamwork, Customer Service, Excel, SAP, Oracle, Microsoft Office, AWS."
Nurse,World Food Programme,Bahir Dar,Bachelor's,0,"Project Management, Teamwork, Docker, HTML","We are looking for a Nurse at World Food Programme in Bahir Dar. Requirements: Bachelor's degree, 0 years experience, skills: Project Management, Teamwork, Docker, HTML."
Sales Representative,Homegrown Ethiopia,Jimma,High School,9,"CCNA, Teamwork, Excel, Communication, Oracle","We are looking for a Sales Representative at Homegrown Ethiopia in Jimma. Requirements: High School degree, 9 years experience, skills: CCNA, Teamwork, Excel, Communication, Oracle."
Auditor,Ethiopian Airlines,Adama,High School,6,"Cisco, Microsoft Office, Leadership, Customer Service","We are looking for a Auditor at Ethiopian Airlines in Adama. Requirements: High School degree, 6 years experience, skills: Cisco, Microsoft Office, Leadership, Customer Service."
Tour Guide,Pathfinder International,Jimma,Master's,3,"Sales, Git, Cybersecurity, Django, Research, QuickBooks, Teaching","We are looking for a Tour Guide at Pathfinder International in Jimma. Requirements: Master's degree, 3 years experience, skills: Sales, Git, Cybersecurity, Django, Research, QuickBooks, Teaching."
Mechanic,World Food Programme,Mekelle,Bachelor's,1,"Pandas, Marketing, Flask, Project Management, Data Analysis, English, JavaScript, Docker","We are looking for a Mechanic at World Food Programme in Mekelle. Requirements: Bachelor's degree, 1 years experience, skills: Pandas, Marketing, Flask, Project Management, Data Analysis, English, JavaScript, Docker."
Project Manager,Pathfinder International,Bahir Dar,Diploma,5,"NumPy, Writing, TensorFlow, Marketing, English, Java, Oracle, Machine Learning","We are looking for a Project Manager at Pathfinder International in Bahir Dar. Requirements: Diploma degree, 5 years experience, skills: NumPy, Writing, TensorFlow, Marketing, English, Java, Oracle, Machine Learning."
Nurse,PSI Ethiopia,Dire Dawa,Bachelor's,5,"Leadership, HTML, CCNA, CSS, TensorFlow","We are looking for a Nurse at PSI Ethiopia in Dire Dawa. Requirements: Bachelor's degree, 5 years experience, skills: Leadership, HTML, CCNA, CSS, TensorFlow."
Civil Engineer,Ethio Telecom,Jimma,Bachelor's,10,"AWS, SQL, Networking","We are looking for a Civil Engineer at Ethio Telecom in Jimma. Requirements: Bachelor's degree, 10 years experience, skills: AWS, SQL, Networking."
Human Resources Assistant,World Food Programme,Jimma,Master's,10,"Writing, Cybersecurity, SAP","We are looking for a Human Resources Assistant at World Food Programme in Jimma. Requirements: Master's degree, 10 years experience, skills: Writing, Cybersecurity, SAP."
Chef,Addis Ababa University,Gondar,Bachelor's,3,"SQL, PyTorch, Amharic, Data Analysis","We are looking for a Chef at Addis Ababa University in Gondar. Requirements: Bachelor's degree, 3 years experience, skills: SQL, PyTorch, Amharic, Data Analysis."
